Cycle,GetTime - cycle,Actual Position,Motor Command,Temp,Temp2,STARTTIME
13.365264,13.368018,20540,0
13.410297,13.427994,20540,0
13.485930,13.488582,20540,0
13.537644,13.540449,20232,-1843
13.596957,13.615062,19186,-1843
13.710126,13.712829,17456,-1834
13.801365,13.804119,15325,-1834
13.868532,13.871235,14241,-1852
13.944981,13.947735,12548,-1852
14.012862,14.015565,10772,-1833
14.105070,14.107875,9032,-1833
14.203704,14.206407,7010,-1846
14.264037,14.266740,5757,-1846
14.376492,14.394189,2709,-1840
14.504910,14.522658,-290,-1857
14.669181,14.686827,-1389,0
14.773323,14.776026,-1388,0
14.880423,14.898885,-1388,0
14.985891,14.988645,-1388,0
15.075855,15.078558,-1388,0
15.173724,15.176427,-682,1844
15.264708,15.267411,884,1844
15.332640,15.335343,1337,1832
15.361812,15.379458,1837,1832
15.436272,15.438924,2771,1832
15.488037,15.490689,3643,1857
15.532866,15.535569,4358,1857
15.631704,15.634509,6005,1839
15.692751,15.695403,7058,1839
15.774606,15.777309,8435,1837
15.819333,15.821985,9274,1837
15.871353,15.874005,10298,1843
15.900474,15.918528,11060,1843
15.960144,15.962847,11725,1843
16.043376,16.046028,13382,1839
16.088001,16.090755,13948,1839
16.154454,16.157157,15120,1841
16.198671,16.201374,15865,1841
16.228149,16.230903,16374,1841
16.280067,16.282770,17271,1845
16.325202,16.327854,18108,1845
16.369623,16.372377,18893,1845
16.456119,16.474581,20018,0
16.516452,16.519155,20018,0
16.576479,16.579182,20018,0
16.621002,16.623603,20018,0
16.696890,16.699593,20018,0
16.773237,16.775940,20018,0
16.802307,16.804959,20018,0
16.878552,16.896351,20018,0
16.961274,16.978971,19482,-1849
17.051901,17.054604,18202,-1849
17.134776,17.137479,16594,-1850
17.210307,17.213061,15033,-1850
17.308941,17.327148,12514,-1840
17.454852,17.472549,9354,-1848
17.546754,17.565165,7052,-1848
17.677059,17.695572,4332,-1846
17.806497,17.824908,1547,-1838
17.970666,17.989128,-1319,0
